Product Name,Category,Brand,Calories (per 100gm ),Carbohydrates (g),Cholestrol(mg),Calcium(mg),Sodium(mg),Protein (g),Sugar (g),Fats (g),Ingredients
Thumbs Up,Beverage,Coca-Cola,42,10.4,0,0,0.81,0,10.4,0,"Carbonated Water, Sugar, Caramel Color (150d), Caffeine, Phosphoric Acid, Natural Flavor, Preservative (E211)"
Limca,Beverage,Coca-Cola,44,10.7,0,0,5.5,0,10.7,0,"Carbonated Water, Sugar, Citric Acid, Sodium Benzoate (E211), Natural Flavoring Substances, and Permitted Class II Preservative."
Fanta,Beverage,Coca-Cola,19,4.6,0,0,6.8,0,4.6,0,"Carbonated Water, Sugar, Citric Acid, Natural Orange Flavor, Preservative (E211), Color (E110)"
Mountain Dew,Beverage,PepsiCo,49,12.3,0,0,8,0,12.3,0,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Caffeine, Sodium Benzoate (Preservative), Yellow 5 (Color"
Sprite,Beverage,Coca-Cola,48,12.2,0,0,10.1,0,12.2,0,"Carbonated Water, Sugar, Citric Acid, Natural Flavors, Sodium Benzoate (Preservative), and Sodium Citrate."
Butter (Amul),Dairy,Amul,724,0,220,0,955,1,0,80,"Cream (from cow's milk), Water, Salt, and Emulsifier (E471)"
Kurkure,Snacks,Kurkure,558,55.2,0,0,892,6.4,55.2,34.6,"Corn Meal, Edible Vegetable Oil, Rice Meal, Spices, Salt, and Seasoning"
Maggie Oats,Instant Noodles,Maggie,337,54.5,0,0,794.4,9.8,54.5,11.5,"Noodles (Wheat Flour, Edible Vegetable Oil, Iodized Salt), Oats (12%), Spice Mix (Salt, Mixed Spices, Flavors, Turmeric Powder, etc.), and Permitted Preservatives"
Maggie Atta,Instant Noodles,Maggie,314,50.4,0,0,798.9,7.7,50.4,10.3,"Noodles (Whole Wheat Flour, Edible Vegetable Oil, Iodized Salt), Spice Mix (Salt, Mixed Spices, Flavors), and Permitted Preservatives"
Oreo,Biscuits,Oreo,483,71.9,0,0,420,5.2,38.8,19.6,"Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Palm and/or Canola Oil, Leavening (Baking Soda and/or Calcium Phosphate), Cocoa (Processed with Alkali), Chocolate, Soy Lecithin (an Emulsifier), and Salt"
Hide n Seek,Biscuits,Hide n Seek,479,73.4,0,0,0,5.9,32.2,18,"Wheat Flour, Sugar, Edible Vegetable Oil, Cocoa Powder, Chocolate Chips, Baking Powder, Emulsifiers (E471, E322), and Salt"
Dark Fantasy,Biscuits,Dark Fantasy,520,61.6,0,0,0,7.3,35.8,27.2,"Wheat Flour, Sugar, Edible Vegetable Oil, Cocoa Powder, Chocolate Chips, Leavening Agents (E500, E450), Emulsifiers (E322, E471), and Salt"
Bourbon,Biscuits,Bourbon,493.5,72.7,0,0,119,5,38.3,20.3,"Wheat Flour, Sugar, Edible Vegetable Oil, Cocoa Powder, Glucose Syrup, Leavening Agents (E500, E450), Emulsifiers (E322, E471), Salt, and Chocolate Cream Filling"
Ketchup,Condiment,Kissan,133.3,33.33,0,0,906.6,1.33,32,0.13,"Tomato Concentrate, Sugar, Vinegar, Salt, Onion Powder, Spice, and Preservative (E211)"
Cornflakes,Cereal,Kellogg's,378,86.9,0,0,490,6.7,9.2,1,"Corn (93%), Sugar, Malt Flavoring, Salt, Vitamins (Niacin, Iron, Thiamin, Riboflavin, Vitamin B6, Folic Acid, Vitamin B12)"
Chocos,Cereal,Kellogg's,390,84,0,533,0.4,8.6,30,3,"Wheat Flour, Sugar, Cocoa Powder, Edible Vegetable Oil, Malt Extract, Salt, and Vitamins (B1, B2, B3, B6, B9, B12, and Iron)"
Iced Tea (Nestea),Beverage,Nestea,399,98.4,0,0,5.8,0,90.8,0,"Water, Sugar, Tea Extract, Acidity Regulator (Citric Acid), Natural Flavoring Substances, Preservative (E211), and Color (E150d)"
Yippee,Instant Noodles,Yippee,459,62.6,0,128.5,1247.1,9,3,20.1,"Wheat Flour, Edible Vegetable Oil, Iodized Salt, and Spices (Mixed Spices, Flavors)"
Wai-Wai,Instant Noodles,Wai-Wai,470.5,61.2,0,120,1380,9.4,2.1,20.9,"Wheat Flour, Edible Vegetable Oil, Salt, and Spices (Mixed Spices, Flavoring)"
Top Ramen,Instant Noodles,Top Ramen,452.27,69.24,0,0,0,8.2,1.79,15.83,"Wheat Flour, Palm Oil, Salt, Sodium Carbonate, and Flavoring Agents"
Paneer (Amul),Dairy,Amul,296,4.5,0,480,0,20,0,22,"Milk, Citric Acid, and Common Salt"
Tofu,Plant-based Food,Fortune,144,2.3,,350,15,15.7,0,8,"Soybean Milk, Coagulant (Calcium Sulfate or Magnesium Chloride), and Water"
Tea,Beverage,Red Label,1,0,0,0,0,0,0,0,"Black Tea Leaves, and Natural Flavoring Substances"
Coffee,Beverage,Nescafe,355,75,0,0,150,12,0,0.2,"Instant Coffee, Chicory, and Natural Flavoring Substances"
KitKat,Chocolate,Nestle,518,63.8,0,0,112.2,8,48.7,25.7,"Sugar, Wheat Flour, Cocoa Butter, Skimmed Milk Powder, Cocoa Mass, Vegetable Fats, Lactose, Emulsifier (E322), and Raising Agents (E500, E450)"
5Star,Chocolate,Cadbury,449,73.7,0,0,168,1.8,61,16.4,"Sugar, Milk Chocolate (Sugar, Cocoa Butter, Skimmed Milk Powder, Cocoa Mass, Emulsifier [E322]), Glucose Syrup, and Vegetable Fats"
Fuse,Chocolate,Cadbury,540,54.3,3.8,0,235,7.9,44.2,33.1,"Sugar, Glucose Syrup, Milk Chocolate (Sugar, Cocoa Butter, Skimmed Milk Powder, Cocoa Mass, Emulsifier [E322]), and Edible Vegetable Oil"
Milky Bar,Chocolate,Nestle,524,50.1,0,0,117.1,11.1,40.9,30,"Sugar, Skimmed Milk Powder, Vegetable Fats, Milk Powder, Lactose, Emulsifier (E322), and Flavoring."
Amul Lassi,Beverage,Amul,79,12.8,0,74,0,2.3,12,2.1,"Cultured Milk, Water, Sugar, and Natural Flavoring Substances"
Amul Milk (Toned),Dairy,Amul,62.3,4.7,8,102,0,3,0,3,"Toned Milk (Milk, Water), Stabilizer (Sodium Citrate), and Vitamins (A & D)"
Amul Milk (Full Cream),Dairy,Amul,86.4,4.9,20,126,50,3.3,0,6,"Full Cream Milk (Milk), Vitamins (A & D), and Stabilizers"
Buttermilk (Amul),Beverage,Amul,28.5,10,17,300,,7,10,6.6,"This long-life milk is homogenized and toned, and contains protein, calcium, vitamins A and D, and sugars."
Ice Cream (Vanilla),Ice Cream,Amul,215,24,44,128,80,4,21,11,"Milk (or cream), Sugar,Egg yolks (optional, depending on the recipe)
,Vanilla extract (or vanilla bean seeds,Stabilizers (optional, such as guar gum or xanthan gum,Salt (a pinch,Air (incorporated during the churning process)
"
Ice Cream (Chocolate),Ice Cream,Amul,216,26,45,110,70,4,23,12,"Milk (or cream), Cocoa powder (unsweetened or Dutch-processed),Sugar,Egg yolks (optional, for a richer texture),Chocolate (melted dark or milk chocolate for flavor),Vanilla extract ,Stabilizers (optional, such as guar gum or xanthan gum) ,Salt (a pinch)"
Ice Cream (Butterscotch),Ice Cream,Amul,255,25,43,120,75,4,22,11,"Milk (or cream) ,Sugar,Butterscotch sauce (made from butter and brown sugar),Egg yolks (optional, for a richer texture),Vanilla extract,Butter (for the butterscotch flavor),Corn syrup (optional, to help with the texture),Stabilizers (optional, such as guar gum or xanthan gum),Salt (a pinch)"
Curd (Amul),Dairy,Amul,65,4.7,17,120,36,3.1,4.7,4.3,"Milk, active culture"
Besan Bhujia (Haldirams),Snacks,Haldirams,579.6,45,0,0,930,14,2,37,"Gram flour, groundnut oil, chickpea flour, spices"
Aloo Bhujia,Snacks,Haldirams,584.3,50,0,0,930,7,1,35,"Potato, gram flour, edible oil, salt, spices"
Ghee (Amul),Dairy,Amul,897,0,256,0,0,0.1,0,99.8,Clarified butter (milk fat)
Honey (Dabur),Sweetener,Dabur,320,80,0,0,17,0.3,80,0,Pure honey
Mayonnaise,Condiment,Dr.Oetkar,502.2,2.7,42,0,635,1,2.6,75,"Egg yolk, vinegar, oil, lemon juice, salt, mustard"
Peanut Butter (Pintola),Spread,Pintola,605,20,0,43,300,25,6,50,"Roasted peanuts, salt, sugar, hydrogenated vegetable oils"
Nutella,Spread,Nutella,541,57.5,5,114,41,6,56.3,30.9,"Sugar, palm oil, hazelnuts, cocoa solids, skimmed milk, lecithin, vanillin"
Jam (Kissan),Spread,Kissan,285,65,0,20,10,0,60,0,"Mixed fruit pulp, sugar, acidity regulator"
Protein Powder (Origin),Supplement,Origin,90.1,3,30,150,50,,1,1,"Whey protein isolate, cocoa powder, natural flavors"
Protein Bars,Supplement,-,492.5,24,5,120,150,20,12,7,"Whey protein, almonds, oats, cocoa, sugar"
Pasta (Divella),Pasta,Divella,355,72,0,20,5,12,2,1.5,Durum wheat semolina
Bread (Wheat),Bread,Britannia,250,49,0,100,230,10,4,3,"Wheat flour, water, yeast, salt"
Bread (Multigrain),Bread,Britannia,265,45,0,120,220,8,5,4,"Whole wheat flour, barley, oats, yeast, salt"
Bread (Brown),Bread,Britannia,254,45,0,110,220,9,4,3.5,"Whole wheat flour, water, yeast, salt"
Juices (Real),Beverage,Real,53,13,0,10,10,0.2,12,0,"Fruit pulp, water, sugar, citric acid"
Cheese Slices,Dairy,Amul,311,1,20,150,210,5,1,7,"Milk solids, emulsifiers, salt"
Horlicks,Beverage,Horlicks,360,33,0,800,250,7,18,3,"Malted barley, wheat flour, milk solids, sugar"
Bournvita,Beverage,Bournvita,387,36,0,500,180,7,19,2,"Malt extract, cocoa, milk solids, sugar"
Complan,Beverage,Complan,439,32,0,280,200,7,22,2,"Malt extract, sugar, milk solids, vitamins, minerals"
Fortune Oil,Oil,Fortune,900,0,0,0,0,0,0,100,Refined sunflower oil
Green Tea (Lipton),Beverage,Lipton,0,0,0,0,0,0,0,0,Green tea leaves
Oats (Saffola),Cereal,Saffola,376,66,0,45,2,11,1,8,100% whole grain oats
Amul Fresh Cream,Dairy,Amul,246,3,50,80,40,2.2,3,28,"Fresh cream, milk solids, stabilizers"
Dry Fruits (Almonds),Dry Fruits,Nutraj,579,22,0,269,1,21,4.9,49,Almonds
Dry Fruits (Cashew),Dry Fruits,Nutraj,533,30,0,37,12,18,5,44,Cashew nuts
Dry Fruits (Walnuts),Dry Fruits,Nutraj,654,14,0,98,2,15,2.6,65,Walnuts
Vinegar (Tops),Condiment,Tops,0,0,0,0,0,0,0,0,Fermented acetic acid
Green Chili Sauce (Chings),Condiment,Chings,44.2,6,0,0,500,0,2,0,"Green chilies, vinegar, sugar, salt"
Red Chili Sauce (Chings),Condiment,Chings,113,7,0,0,400,0,3,0,"Red chilies, vinegar, sugar, salt"
Britannia Cake,Cake,Britannia,405,36,20,150,150,3,20,5,"Wheat flour, sugar, butter, milk, eggs"
Parle-G,Biscuits,Parle-G,451,20,0,20,100,1,5,4,"Wheat flour, sugar, hydrogenated fat, milk solids"
Marie Biscuits,Biscuits,Marie,446,16,0,20,30,1,5,4,"Wheat flour, sugar, palm oil, sodium bicarbonate"
Yakult,Beverage,Yakult,76.9,11,0,0,5,1,10,0,"Skimmed milk, sugar, live probiotic culture"
Amul Cheese Spread,Dairy,Amul,277,5,20,150,260,5,1,8,"Processed cheese, water, emulsifiers, salt"
Knorr Soups,Soup,Knorr,338,10,0,0,500,1,4,0,"Dehydrated vegetables, starch, salt, seasonings"
Salted Peanuts,Snacks,-,637,6,0,20,130,7,1,14,"Peanuts, salt"
Melody,Candy,Melody,434,11,0,0,10,0,9,0,"Sugar, hydrogenated fats, cocoa"
Choclairs,Candy,-,448,20,5,30,30,1,15,5,"Sugar, glucose syrup, cocoa"
Doritos,Snacks,Doritos,140,18,0,20,250,2,1,8,"Corn, vegetable oil, seasoning"
MDH Garam Masala,Spice,MDH,20,4,0,0,10,2,0,0,Mixed spices
MDH Haldi,Spice,MDH,10,2,0,0,5,0,0,0,Turmeric
Act II Popcorn,Snacks,Act II,150,22,0,0,200,3,4,8,"Corn, palm oil, salt"
Red Bull,Beverage,Red Bull,110,28,0,0,200,0,27,0,"Carbonated water, sucrose, glucose"
